938,article,commun. acm,,,acm,5,47,12,2004,dec,2004-11-23 02:13:34,"new york, ny, usa",semantic blogging and decentralized knowledge management,tapping into the structured metadata in snippets of information gives communities of interest effective access to their collective knowledge.
405907,article,proceedings of the ieee,proceedings of the ieee,,ieee,29,77,2,1989,feb,2005-11-23 14:41:25,,a tutorial on hidden markov models and selected applications in speech recognition,"this tutorial provides an overview of the basic theory of hidden markov models ({hmms}) as originated by {l.e}. baum and t. petrie (1966) and gives practical details on methods of implementation of the theory along with a description of selected applications of the theory to distinct problems in speech recognition. results from a number of original sources are combined to provide a single source of acquiring the background required to pursue further this area of research. the author first reviews the theory of discrete markov chains and shows how the concept of hidden states, where the observation is a probabilistic function of the state, can be used effectively. the theory is illustrated with two simple examples, namely coin-tossing, and the classic balls-in-urns system. three fundamental problems of {hmms} are noted and several practical techniques for solving these problems are given. the various types of {hmms} that have been studied, including ergodic as well as left-right models, are described"
2620950,article,genome research,genome research,,cold spring harbor laboratory press,8,18,5,2008,may,2008-04-01 21:51:05,,velvet: algorithms for de novo short read assembly using de bruijn graphs.,"we have developed a new set of algorithms, collectively called ""velvet,"" to manipulate de bruijn graphs for genomic sequence assembly. a de bruijn graph is a compact representation based on short words (k-mers) that is ideal for high coverage, very short read (25-50 bp) data sets. applying velvet to very short reads and paired-ends information only, one can produce contigs of significant length, up to 50-kb n50 length in simulations of prokaryotic data and 3-kb n50 on simulated mammalian {bacs}. when applied to real solexa data sets without read pairs, velvet generated contigs of approximately 8 kb in a prokaryote and 2 kb in a mammalian {bac}, in close agreement with our simulated results without read-pair information. velvet represents a new approach to assembly that can leverage very short reads in combination with read pairs to produce useful assemblies."
4265782,article,science,,,american association for the advancement of science,4,324,5923,2009,apr,2009-04-03 03:48:42,,the automation of science,"the basis of science is the hypothetico-deductive method and the recording of experiments in sufficient detail to enable reproducibility. we report the development of robot scientist  ” adam,” which advances the automation of both. adam has autonomously generated functional genomics hypotheses about the yeast saccharomyces cerevisiae and experimentally tested these hypotheses by using laboratory automation. we have confirmed adam's conclusions through manual experiments. to describe adam's research, we have developed an ontology and logical language. the resulting formalization involves over 10,000 different research units in a nested treelike structure, 10 levels deep, that relates the 6.6 million biomass measurements to their logical description. this formalization describes how a machine contributed to scientific knowledge."
227153,article,nature,,,nature publishing group,61,409,6822,2001,feb,2005-06-14 02:46:37,,initial sequencing and analysis of the human genome,"the human genome holds an extraordinary trove of information about human development, physiology, medicine and evolution. here we report the results of an international collaboration to produce and make freely available a draft sequence of the human genome. we also present an initial analysis of the data, describing some of the insights that can be gleaned from the sequence."
255030,article,nucleic acids research,,,oxford university press,7,28,1,2000,jan,2005-07-13 17:11:25,"research collaboratory for structural bioinformatics (rcsb), rutgers university, piscataway, nj 08854-8087, usa. berman@rcsb.rutgers.edu",the protein data bank,"the protein data bank ({pdb}; http://www.rcsb.org/pdb/ ) is the single worldwide archive of structural data of biological macromolecules. this paper describes the goals of the {pdb}, the systems in place for data deposition and access, how to obtain further information, and near-term plans for the future development of the resource."
2058201,article,,,,,,,,2005,may,2009-09-16 12:38:25,,spike and slab variable selection: frequentist and bayesian strategies,
5394760,article,nature biotechnology,,,nature publishing group,6,27,8,2009,aug,2009-08-08 08:00:03,,the systems biology graphical notation.,"circuit diagrams and unified modeling language diagrams are just two examples of standard visual languages that help accelerate work by promoting regularity, removing ambiguity and enabling software tool support for communication of complex information. ironically, despite having one of the highest ratios of graphical to textual information, biology still lacks standard graphical notations. the recent deluge of biological knowledge makes addressing this deficit a pressing concern. toward this goal, we present the systems biology graphical notation ({sbgn}), a visual language developed by a community of biochemists, modelers and computer scientists. {sbgn} consists of three complementary languages: process diagram, entity relationship diagram and activity flow diagram. together they enable scientists to represent networks of biochemical interactions in a standard, unambiguous way. we believe that {sbgn} will foster efficient and accurate representation, visualization, storage, exchange and reuse of information on all kinds of biological knowledge, from gene regulation, to metabolism, to cellular signaling."
5785226,article,plos biol,,,public library of science,,7,9,2009,sep,2009-09-15 07:43:42,,real lives and white lies in the funding of scientific research,
4524121,article,plos comput biol,,,public library of science,,5,6,2009,jun,2009-05-15 18:13:22,,ten simple rules for choosing between industry and academia,
2883810,article,genome research,,,cold spring harbor laboratory press,8,18,9,2008,sep,2008-06-11 21:57:14,,{rna}-seq: an assessment of technical reproducibility and comparison with gene expression arrays,"an international, peer-reviewed genome sciences journal featuring outstanding original research that offers novel insights into the biology of all organisms"
481248,article,physics reports,,,,133,424,4-5,2006,feb,2006-01-26 05:04:14,,complex networks: structure and dynamics,"coupled biological and chemical systems, neural networks, social interacting species, the internet and the world wide web, are only a few examples of systems composed by a large number of highly interconnected dynamical units. the first approach to capture the global properties of such systems is to model them as graphs whose nodes represent the dynamical units, and whose links stand for the interactions between them. on the one hand, scientists have to cope with structural issues, such as characterizing the topology of a complex wiring architecture, revealing the unifying principles that are at the basis of real networks, and developing models to mimic the growth of a network and reproduce its structural properties. on the other hand, many relevant questions arise when studying complex networks' dynamics, such as learning how a large ensemble of dynamical systems that interact through a complex wiring topology can behave collectively. we review the major concepts and results recently achieved in the study of the structure and dynamics of complex networks, and summarize the relevant applications of these ideas in many different disciplines, ranging from nonlinear science to biology, from statistical mechanics to medicine and engineering."
4025955,article,nat rev neurosci,,,nature publishing group,12,10,3,2009,mar,2009-02-09 16:40:14,,complex brain networks: graph theoretical analysis of structural and functional systems,"recent developments in the quantitative analysis of complex networks, based largely on graph theory, have been rapidly translated to studies of brain network organization. the brain's structural and functional systems have features of complex networks--such as small-world topology, highly connected hubs and modularity--both at the whole-brain scale of human neuroimaging and at a cellular scale in non-human animals. in this article, we review studies investigating complex brain networks in diverse experimental modalities (including structural and functional {mri}, diffusion tensor imaging, magnetoencephalography and electroencephalography in humans) and provide an accessible introduction to the basic principles of graph theory. we also highlight some of the technical challenges and key questions to be addressed by future developments in this rapidly moving field."
965334,inproceedings,,proceedings of the 2006 20th anniversary conference on computer supported cooperative work,cscw,acm,9,,,2006,,2006-11-28 14:56:29,"new york, ny, usa","tagging, communities, vocabulary, evolution","a tagging community's vocabulary of tags forms the basis for social navigation and shared {expression.we} present a user-centric model of vocabulary evolution in tagging communities based on community influence and personal tendency. we evaluate our model in an emergent tagging system by introducing tagging features into the {movielens} recommender {system.we} explore four tag selection algorithms for displaying tags applied by other community members. we analyze the algorithms 'effect on vocabulary evolution, tag utility, tag adoption, and user satisfaction."
820297,article,pattern recognition letters,roc analysis in pattern recognition,,elsevier science inc.,13,27,8,2006,jun,2006-08-29 02:24:46,"new york, ny, usa",an introduction to {roc} analysis,"receiver operating characteristics ({roc}) graphs are useful for organizing classifiers and visualizing their performance. {roc} graphs are commonly used in medical decision making, and in recent years have been used increasingly in machine learning and data mining research. although {roc} graphs are apparently simple, there are some common misconceptions and pitfalls when using them in practice. the purpose of this article is to serve as an introduction to {roc} graphs and as a guide for using them in research."
2739852,article,nature,,,nature publishing group,3,453,7191,2008,may,2008-04-30 21:28:34,,hierarchical structure and the prediction of missing links in networks,"networks have in recent years emerged as an invaluable tool for describing and quantifying complex systems in many branches of science1, 2, 3. recent studies suggest that networks often exhibit hierarchical organization, in which vertices divide into groups that further subdivide into groups of groups, and so forth over multiple scales. in many cases the groups are found to correspond to known functional units, such as ecological niches in food webs, modules in biochemical networks (protein interaction networks, metabolic networks or genetic regulatory networks) or communities in social networks4, 5, 6, 7. here we present a general technique for inferring hierarchical structure from network data and show that the existence of hierarchy can simultaneously explain and quantitatively reproduce many commonly observed topological properties of networks, such as right-skewed degree distributions, high clustering coefficients and short path lengths. we further show that knowledge of hierarchical structure can be used to predict missing connections in partly known networks with high accuracy, and for more general network structures than competing techniques8. taken together, our results suggest that hierarchy is a central organizing principle of complex networks, capable of offering insight into many network phenomena."
7122989,article,nature biotechnology,,,nature publishing group,4,28,5,2010,may,2010-05-04 21:31:11,,transcript assembly and quantification by {rna}-seq reveals unannotated transcripts and isoform switching during cell differentiation.,"high-throughput {mrna} sequencing ({rna}-seq) promises simultaneous transcript discovery and abundance estimation. however, this would require algorithms that are not restricted by prior gene annotations and that account for alternative transcription and splicing. here we introduce such algorithms in an open-source software program called cufflinks. to test cufflinks, we sequenced and analyzed >430 million paired 75-bp {rna}-seq reads from a mouse myoblast cell line over a differentiation time series. we detected 13,692 known transcripts and 3,724 previously unannotated ones, 62\% of which are supported by independent expression data or by homologous genes in other species. over the time series, 330 genes showed complete switches in the dominant transcription start site ({tss}) or splice isoform, and we observed more subtle shifts in 1,304 other genes. these results suggest that cufflinks can illuminate the substantial regulatory flexibility and complexity in even this well-studied model of muscle development and that it can improve transcriptome-based genome annotation."
172550,article,acm trans. inf. syst.,,,acm,48,22,1,2004,jan,2005-04-27 18:41:15,"new york, ny, usa",evaluating collaborative filtering recommender systems,"recommender systems have been evaluated in many, often incomparable, ways. in this article, we review the key decisions in evaluating collaborative filtering recommender systems: the user tasks being evaluated, the types of analysis and datasets being used, the ways in which prediction quality is measured, the evaluation of prediction attributes other than quality, and the user-based evaluation of the system as a whole. in addition to reviewing the evaluation strategies used by prior researchers, we present empirical results from the analysis of various accuracy metrics on one content domain where all the tested metrics collapsed roughly into three equivalence classes. metrics within each equivalency class were strongly correlated, while metrics from different equivalency classes were uncorrelated."
168573,article,personal ubiquitous comput.,,,springer-verlag,11,8,1,2004,feb,2005-04-24 00:19:48,"london, uk, uk",what we talk about when we talk about context,"the emergence of ubiquitous computing as a new design paradigm poses significant challenges for human-computer interaction ({hci}) and interaction design. traditionally, {hci} has taken place within a constrained and well-understood domain of experience—single users sitting at desks and interacting with conventionally-designed computers employing screens, keyboards and mice for interaction. new opportunities have engendered considerable interest in  ” context-aware computing”—computational systems that can sense and respond to aspects of the settings in which they are used. however, considerable confusion surrounds the notion of  ” context”—what it means, what it includes and what role it plays in interactive systems. this paper suggests that the representational stance implied by conventional interpretations of  ” context” misinterprets the role of context in everyday human activity, and proposes an alternative model that suggests different directions for design."
556495,article,reviews of modern physics,,,american physical society,50,74,1,2002,jan,2006-03-18 18:52:38,,statistical mechanics of complex networks,"complex networks describe a wide range of systems in nature and society. frequently cited examples include the cell, a network of chemicals linked by chemical reactions, and the internet, a network of routers and computers connected by physical links. while traditionally these systems have been modeled as random graphs, it is increasingly recognized that the topology and evolution of real networks are governed by robust organizing principles. this article reviews the recent advances in the field of complex networks, focusing on the statistical mechanics of network topology and dynamics. after reviewing the empirical data that motivated the recent interest in networks, the authors discuss the main models and analytical tools, covering random graphs, small-world and scale-free networks, the emerging theory of evolving networks, and the interplay between topology and the network's robustness against failures and attacks."
430834,inproceedings,osdi '04,,,,13,,,-1,,2005-12-08 17:10:09,,{mapreduce}: simplified data processing on large clusters,"{mapreduce} is a programming model and an associated implementation for processing and generating large data sets.  users specify a \_map\_ function that processes a key/value pair to generate a set of intermediate key/value pairs, and a \_reduce\_ function that merges all intermediate values associated with the same intermediate key.  many real world tasks are expressible in this model, as shown in the paper. <p> programs written in this functional style are automatically parallelized and executed on a large cluster of commodity machines. the run-time system takes care of the details of partitioning the input data, scheduling the program's execution across a set of machines, handling machine failures, and managing the required inter- machine communication.  this allows programmers without any experience with parallel and distributed systems to easily utilize the resources of a large distributed system.  <p> our implementation of {mapreduce} runs on a large cluster of commodity machines and is highly scalable: a typical {mapreduce} computation processes many terabytes of data on thousands of machines. programmers find the system easy to use: hundreds of {mapreduce} programs have been implemented and upwards of one thousand {mapreduce} jobs are executed on google's clusters every day.     <p>"
154,article,physical review e,,,american physical society,,69,2,2003,aug,2004-11-10 17:09:17,,finding and evaluating community structure in networks,
5434882,article,science,science,,american association for the advancement of science,4,325,5942,2009,aug,2009-08-14 06:24:48,,"strategic reading, ontologies, and the future of scientific publishing","the revolution in scientific publishing that has been promised since the 1980s is about to take place. scientists have always read strategically, working with many articles simultaneously to search, filter, scan, link, annotate, and analyze fragments of content. an observed recent increase in strategic reading in the online environment will soon be further intensified by two current trends: (i) the widespread use of digital indexing, retrieval, and navigation resources and (ii) the emergence within many scientific disciplines of interoperable ontologies. accelerated and enhanced by reading tools that take advantage of ontologies, reading practices will become even more rapid and indirect, transforming the ways in which scientists engage the literature and shaping the evolution of scientific publishing."
2883820,article,nature,,,nature publishing group,9,453,7197,2008,jun,2008-06-11 22:05:46,,what we can do and what we cannot do with {fmri},"functional magnetic resonance imaging ({fmri}) is currently the mainstay of neuroimaging in cognitive neuroscience. advances in scanner technology, image acquisition protocols, experimental design, and analysis methods promise to push forward {fmri} from mere cartography to the true study of brain organization. however, fundamental questions concerning the interpretation of {fmri} data abound, as the conclusions drawn often ignore the actual limitations of the methodology. here i give an overview of the current state of {fmri}, and draw on neuroimaging and physiological data to present the current understanding of the haemodynamic signals and the constraints they impose on neuroimaging data interpretation."
200871,book,,,,basic books,,,,2002,sep,2005-05-15 20:37:03,,the design of everyday things,"even the smartest among us can feel inept as we fail to figure out which switch turns on which light or stove burner, or whether to push, pull, or slide a door. the fault lies in product designs that ignore the needs of users and the principles of cognitive psychology. a bestseller in the united states, this classic work on the cognitive aspects of design contains examples of both good and bad design and simple rules that designers can use to improve the usability of objects as diverse as cars, computers, doors, and {telephones.--from} publisher description."
1307464,article,nat rev genet,nat rev genet,,nature publishing group,11,8,6,2007,jun,2007-05-20 11:38:23,,network motifs: theory and experimental approaches,"transcription regulation networks control the expression of genes. the transcription networks of well-studied microorganisms appear to be made up of a small set of recurring regulation patterns, called network motifs. the same network motifs have recently been found in diverse organisms from bacteria to humans, suggesting that they serve as basic building blocks of transcription networks. here i review network motifs and their functions, with an emphasis on experimental studies. network motifs in other biological networks are also mentioned, including signalling and neuronal networks."
6758396,article,nature,,,nature publishing group,6,464,7285,2010,mar,2010-03-03 19:29:56,,a human gut microbial gene catalogue established by metagenomic sequencing,"to understand the impact of gut microbes on human health and well-being it is crucial to assess their genetic potential. here we describe the illumina-based metagenomic sequencing, assembly and characterization of 3.3 million non-redundant microbial genes, derived from 576.7 gigabases of sequence, from faecal samples of 124 european individuals. the gene set, \~{}150 times larger than the human gene complement, contains an overwhelming majority of the prevalent (more frequent) microbial genes of the cohort and probably includes a large proportion of the prevalent human intestinal microbial genes. the genes are largely shared among individuals of the cohort. over 99\% of the genes are bacterial, indicating that the entire cohort harbours between 1,000 and 1,150 prevalent bacterial species and each individual at least 160 such species, which are also largely shared. we define and describe the minimal gut metagenome and the minimal gut bacterial genome in terms of functions present in all individuals and most bacteria, respectively."
4302361,article,trends in biochemical sciences,,,,6,34,5,2009,may,2009-04-12 03:45:47,,four stages of a scientific discipline; four types of scientist,
197238,article,science,science,,american association for the advancement of science,47,291,5507,2001,feb,2005-05-11 20:15:06,"celera genomics, 45 west gude drive, rockville, md 20850, usa. humangenome@celera.com",the sequence of the human genome,
4511,article,commun. acm,,,acm,5,47,12,2004,dec,2004-12-22 16:50:14,"new york, ny, usa",why we blog,"bloggers are driven to document their lives, provide commentary and opinions, express deeply felt emotions, articulate ideas through writing, and form and maintain community forums."
113848,book,,,prentice hall series in artificial intelligence,prentice hall,,,,2002,dec,2005-03-04 08:43:31,,artificial intelligence: a modern approach (2nd edition),"presents a guide to artificial intelligence, covering such topics as intelligent agents, problem-solving, logical agents, planning, uncertainty, learning, and robotics."
2800782,article,nature reviews genetics,,,nature publishing group,6,9,7,2008,may,2008-05-16 05:31:42,"carnegie institution for science, department of plant biology, 260 panama street, stanford, california 94305, usa.",use and misuse of the gene ontology annotations,
1320727,article,proceedings of the national academy of sciences of the united states of america,,,national academy of sciences,5,104,21,2007,may,2007-05-23 09:40:03,,the human disease network.,"a network of disorders and disease genes linked by known disorder-gene associations offers a platform to explore in a single graph-theoretic framework all known phenotype and disease gene associations, indicating the common genetic origin of many diseases. genes associated with similar disorders show both higher likelihood of physical interactions between their products and higher expression profiling similarity for their transcripts, supporting the existence of distinct disease-specific functional modules. we find that essential human genes are likely to encode hub proteins and are expressed widely in most tissues. this suggests that disease genes also would play a central role in the human interactome. in contrast, we find that the vast majority of disease genes are nonessential and show no tendency to encode hub proteins, and their expression pattern indicates that they are localized in the functional periphery of the network. a selection-based model explains the observed difference between essential and disease genes and also suggests that diseases caused by somatic mutations should not be peripheral, a prediction we confirm for cancer genes."
340715,book,,,morgan kaufmann series in data management systems,morgan kaufmann,,,,2005,jun,2005-10-04 15:35:50,,data mining: practical machine learning tools and techniques,"as with any burgeoning technology that enjoys commercial attention, the use of data mining is surrounded by a great deal of hype. exaggerated reports tell of secrets that can be uncovered by setting algorithms loose on oceans of data. but there is no magic in machine learning, no hidden power, no alchemy. instead there is an identifiable body of practical techniques that can extract useful information from raw data. this book describes these techniques and shows how they work. <{br><br>the} book is a major revision of the first edition that appeared in 1999. while the basic core remains the same, it has been updated to reflect the changes that have taken place over five years, and now has nearly double the references. the highlights for the new edition include thirty new technique sections; an enhanced weka machine learning workbench, which now features an interactive interface; comprehensive information on neural networks; a new section on bayesian networks; plus much more.<br><br>+ authors, ian witten and eibe frank, recipients of the 2005 {acm} {sigkdd} service award.<br>+ algorithmic methods at the heart of successful data miningincluding tried and true techniques as well as leading edge methods; <br>+ performance improvement techniques that work by transforming the input or output; <br>+ downloadable weka, a collection of machine learning algorithms for data mining tasks, including tools for data pre-processing, classification, regression, clustering, association rules, and visualizationin a new, interactive interface."
688160,inproceedings,,www,,acm press,9,,,2006,,2006-06-07 11:20:08,"new york, ny, usa",visualizing tags over time,
3158518,article,genome research,,,cold spring harbor laboratory press,7,18,11,2008,nov,2008-08-27 16:06:37,sanger institute;,mapping short {dna} sequencing reads and calling variants using mapping quality scores.,"new sequencing technologies promise a new era in the use of {dna} sequence. however, some of these technologies produce very short reads, typically of a few tens of base pairs, and to use these reads effectively requires new algorithms and software. in particular, there is a major issue in efficiently aligning short reads to a reference genome and handling ambiguity or lack of accuracy in this alignment. here we introduce the concept of mapping quality, a measure of the confidence that a read actually comes from the position it is aligned to by the mapping algorithm. we describe the software {maq} that can build assemblies by mapping shotgun short reads to a reference genome, using quality scores to derive genotype calls of the consensus sequence of a diploid genome, e.g., from a human sample. {maq} makes full use of mate-pair information and estimates the error probability of each read alignment. error probabilities are also derived for the final genotype calls, using a bayesian statistical model that incorporates the mapping qualities, error probabilities from the raw sequence quality scores, sampling of the two haplotypes, and an empirical model for correlated errors at a site. both read mapping and genotype calling are evaluated on simulated data and real data. {maq} is accurate, efficient, versatile, and user-friendly. it is freely available at http://maq.sourceforge.net."
165614,book,,,"structural analysis in the social sciences, 8",cambridge university press,,,,1994,nov,2005-04-21 02:34:58,,social network analysis: methods and applications (structural analysis in the social sciences),
105906,book,,,,the mit press,,,,1999,jun,2005-02-27 13:16:43,,foundations of statistical natural language processing,
201598,article,commun. acm,,,acm,2,40,3,1997,mar,2005-05-16 18:36:58,"new york, ny, usa",referral web: combining social networks and collaborative filtering,an abstract is not available.
8132834,article,genome biology,,,biomed central ltd,,11,10,2010,oct,2010-10-27 16:53:08,,differential expression analysis for sequence count data.,"high-throughput sequencing assays such as {rna}-seq, {chip}-seq or barcode counting provide quantitative readouts in the form of count data. to infer differential signal in such data correctly and with good statistical power, estimation of data variability throughout the dynamic range and a suitable error model are required. we propose a method based on the negative binomial distribution, with variance and mean linked by local regression and present an implementation, {deseq}, as an {r/bioconductor} package."
6573750,article,science,,,american association for the advancement of science,6,327,5964,2010,jan,2010-01-21 19:49:16,,the genetic landscape of a cell,
9300222,article,nature biotechnology,,,"nature publishing group, a division of macmillan publishers limited. all rights reserved.",8,29,7,2011,jul,2011-05-15 22:32:06,,full-length transcriptome assembly from {rna}-seq data without a reference genome.,"massively parallel sequencing of {cdna} has enabled deep and efficient probing of transcriptomes. current approaches for transcript reconstruction from such data often rely on aligning reads to a reference genome, and are thus unsuitable for samples with a partial or missing reference genome. here we present the trinity method for de novo assembly of full-length transcripts and evaluate it on samples from fission yeast, mouse and whitefly, whose reference genome is not yet available. by efficiently constructing and analyzing sets of de bruijn graphs, trinity fully reconstructs a large fraction of transcripts, including alternatively spliced isoforms and transcripts from recently duplicated genes. compared with other de novo transcriptome assemblers, trinity recovers more full-length transcripts across a broad range of expression levels, with a sensitivity similar to methods that rely on genome alignments. our approach provides a unified solution for transcriptome reconstruction in any sample, especially in the absence of a reference genome."
143101,book,,,,the mit press,,,,1996,oct,2005-03-30 20:06:19,,the sciences of the artificial - 3rd edition,
1051630,article,science,,,american association for the advancement of science,4,315,5814,2007,feb,2007-01-19 13:03:14,"department of electrical and computer engineering, university of toronto, 10 king's college road, toronto, ontario m5s 3g4, canada.",clustering by passing messages between data points,"clustering data by identifying a subset of representative examples is important for processing sensory signals and detecting patterns in data. such  ” exemplars” can be found by randomly choosing an initial subset of data points and then iteratively refining it, but this works well only if that initial choice is close to a good solution. we devised a method called  ” affinity propagation,” which takes as input measures of similarity between pairs of data points. real-valued messages are exchanged between data points until a high-quality set of exemplars and corresponding clusters gradually emerges. we used affinity propagation to cluster images of faces, detect genes in microarray data, identify representative sentences in this manuscript, and identify cities that are efficiently accessed by airline travel. affinity propagation found clusters with much lower error than other methods, and it did so in less than one-hundredth the amount of time."
6734445,article,plos comput biol,,,public library of science,,6,2,2010,feb,2010-02-26 17:20:09,,a primer on metagenomics,"metagenomics is a discipline that enables the genomic study of uncultured microorganisms. faster, cheaper sequencing technologies and the ability to sequence uncultured microbes sampled directly from their habitats are expanding and transforming our view of the microbial world. distilling meaningful information from the millions of new genomic sequences presents a serious challenge to bioinformaticians. in cultured microbes, the genomic data come from a single clone, making sequence assembly and annotation tractable. in metagenomics, the data come from heterogeneous microbial communities, sometimes containing more than 10,000 species, with the sequence data being noisy and partial. from sampling, to assembly, to gene calling and function prediction, bioinformatics faces new demands in interpreting voluminous, noisy, and often partial sequence data. although metagenomics is a relative newcomer to science, the past few years have seen an explosion in computational methods applied to metagenomic-based research. it is therefore not within the scope of this article to provide an exhaustive review. rather, we provide here a concise yet comprehensive introduction to the current computational requirements presented by metagenomics, and review the recent progress made. we also note whether there is software that implements any of the methods presented here, and briefly review its utility. nevertheless, it would be useful if readers of this article would avail themselves of the comment section provided by this journal, and relate their own experiences. finally, the last section of this article provides a few representative studies illustrating different facets of recent scientific discoveries made using metagenomics."
368051,book,,,,o'reilly media,,,,2005,oct,2005-10-27 19:31:24,,ambient findability: what we find changes who we become,"{how do you find your way in an age of information overload? how can you filter streams of complex information to pull out only what you want? why does it matter how information is structured when google seems to magically bring up the right answer to your questions? what does it mean to be ""findable"" in this day and age?  this eye-opening new book examines the convergence of information and connectivity. written by peter morville, author of the groundbreaking <i>information architecture for the world wide web</i>, the book defines our current age as a state of unlimited findability. in other words, anyone can find anything at any time. complete navigability.   <p>  morville discusses the internet, gis, and other network technologies that are coming together to make unlimited findability possible. he explores how the melding of these innovations impacts society, since web access is now a standard requirement for successful people and businesses. but before he does that, morville looks back at the history of wayfinding and human evolution, suggesting that our fear of being lost has driven us to create maps, charts, and now, the mobile internet.</p>  <p>  the book's central thesis is that information literacy, information architecture, and usability are all critical components of this new world order. hand in hand with that is the contention that only by planning and designing the best possible software, devices, and internet, will we be able to maintain this connectivity in the future. morville's book is highlighted with full color illustrations and rich examples that bring his prose to life.</p>  <p>  <i>ambient findability</i> doesn't preach or pretend to know all the answers. instead, it presents research, stories, and examples in support of its novel ideas. are we truly at a critical point in our evolution where the quality of our digital networks will dictate how we behave as a species? is findability indeed the primary key to a successful global marketplace in the 21st century and beyond. peter morville takes you on a thought-provoking tour of these memes and more -- ideas that will not only fascinate but will stir your creativity in practical ways that you can apply to your work immediately.</p>  <p>  <i>""a lively, enjoyable and informative tour of a topic that's only going to become more important.""</i><br>  --david weinberger, author, <i>small pieces loosely joined</i> and <i>the cluetrain manifesto</i></br></p>  <p>  <i>""i envy the young scholar who finds this inventive book, by whatever strange means are necessary. the future isn't just unwritten--it's unsearched.""</i><br>  --bruce sterling, writer, futurist, and co-founder, the electronic frontier foundation</br></p>  <p>  <i>""search engine marketing is the hottest thing in internet business, and deservedly so. ambient findability puts sem into a broader context and provides deeper insights into human behavior. this book will help you grow your online business in a world where being found is not at all certain.""</i><br>  --jakob nielsen, ph.d., author, <i>designing web usability: the practice of simplicity</i></br></p>  <p>  <i>""information that's hard to find will remain information that's hardly found--from one of the fathers of the discipline of information architecture, and one of its most experienced practitioners, come penetrating observations on why findability is elusive and how the act of seeking changes us.""</i><br>  --steve papa, founder and chairman, endeca</br></p>  <p>  <i>""whether it's a fact or a figure, a person or a place, peter morville knows how to make it findable. morville explores the possibilities of a world where everything can always be found--and the challenges in getting there--in this wide-ranging, thought-provoking book.""</i><br>  --jesse james garrett, author, <i>the elements of user experience</i></br></p>  <p>  <i>""it is easy to assume that current searching of the world wide web is the last word in finding and using information. peter morville shows us that search engines are just the beginning. skillfully weaving together information science research with his own extensive experience, he develops for the reader a feeling for the near future when information is truly findable all around us. there are immense implications, and morville's lively and humorous writing brings them home.""</i><br>  --marcia j. bates, ph.d., university of california los angeles</br></p>  <p>  <i>""i've always known that peter morville was smart. after reading ambient findability, i now know he's (as we say in boston) wicked smart. this is a timely book that will have lasting effects on how we create our future.</i><br>  --jared spool, founding principal, user interface engineering</br></p>  <p>  <i>""in ambient findability, peter morville has put his mind and keyboard on the pulse of the electronic noosphere. with tangible examples and lively writing, he lays out the challenges and wonders of finding our way in cyberspace, and explains the mutually dependent evolution of our changing world and selves. this is a must read for everyone and a practical guide for designers.""</i><br>  --gary marchionini, ph.d., university of north carolina</br></p>  <p>  <i>""find this book! anyone interested in making information easier to find, or understanding how finding and being found is changing, will find this thoroughly researched, engagingly written, literate, insightful and very, very cool book well worth their time. myriad examples from rich and varied domains and a valuable idea on nearly every page. fun to read, too!</i><br>  --joseph janes, ph.d., founder, internet public library</br></p>}"
90557,article,science,,,american association for the advancement of science,3,286,5439,1999,oct,2005-02-09 21:05:22,"department of physics, university of notre dame, notre dame, in 46556, usa.",emergence of scaling in random networks,
5913660,article,science,,,american association for the advancement of science,4,326,5950,2009,oct,2009-10-09 03:21:11,,comprehensive mapping of {long-range} interactions reveals folding principles of the human genome,"we describe {hi-c}, a method that probes the three-dimensional architecture of whole genomes by coupling proximity-based ligation with massively parallel sequencing. we constructed spatial proximity maps of the human genome with {hi-c} at a resolution of 1 megabase. these maps confirm the presence of chromosome territories and the spatial proximity of small, gene-rich chromosomes. we identified an additional level of genome organization that is characterized by the spatial segregation of open and closed chromatin to form two genome-wide compartments. at the megabase scale, the chromatin conformation is consistent with a fractal globule, a knot-free, polymer conformation that enables maximally dense packing while preserving the ability to easily fold and unfold any genomic locus. the fractal globule is distinct from the more commonly used globular equilibrium model. our results demonstrate the power of {hi-c} to map the dynamic conformations of whole genomes."
1033358,article,siam review,,,siam,89,45,2,2003,,2007-01-15 20:43:39,,the structure and function of complex networks,"inspired by empirical studies of networked systems such as the internet, social networks, and biological networks, researchers have in recent years developed a variety of techniques and models to help us understand or predict the behavior of these systems. here we review developments in this field, including such concepts as the small-world effect, degree distributions, clustering, network correlations, random graph models, models of network growth and preferential attachment, and dynamical processes taking place on networks."
920055,article,genome research,,,cold spring harbor laboratory press,6,13,11,2003,nov,2006-10-31 10:30:16,"institute for systems biology, seattle, washington 98103, usa.",cytoscape: a software environment for integrated models of biomolecular interaction networks,"an international, peer-reviewed genome sciences journal featuring outstanding original research that offers novel insights into the biology of all organisms"
305879,book,,,,oxford university press,,,,1977,aug,2005-11-27 21:34:00,,"a pattern language: towns, buildings, construction (center for environmental structure)",
